transaction_id,user_id,product_id,purchase_time,amount,rating
T000001,U00813,P00081,2024-12-19 09:02:23,4188.985602674747,
T000002,U00922,P00114,2024-12-29 09:02:23,87.55894761188674,3.0
T000003,U00845,P00184,2024-12-11 09:02:23,2213.5245983947834,
T000004,U00449,P00024,2025-02-06 09:02:23,60.85676890283796,2.0
T000005,U00536,P00066,2025-01-30 09:02:23,184.9385402527337,4.0
T000006,U00511,P00141,2025-01-06 09:02:23,3057.798841598276,2.0
T000007,U00458,P00062,2024-12-13 09:02:23,358.71035894591915,1.0
T000008,U00547,P00054,2025-01-25 09:02:23,376.03475431026635,3.0
T000009,U00536,P00143,2024-12-10 09:02:23,63.63500724605653,5.0
T000010,U00540,P00197,2024-12-15 09:02:23,4346.909882697429,2.0
T000011,U00484,P00131,2024-12-08 09:02:23,70.6744613339627,3.0
T000012,U00976,P00037,2025-01-25 09:02:23,38.66186330455676,4.0
T000013,U01000,P00037,2025-01-02 09:02:23,35.76906668294444,5.0
T000014,U00016,P00131,2024-12-15 09:02:23,66.05089432957008,4.0
T000015,U00571,P00191,2025-01-26 09:02:23,85.09075964336749,1.0
T000016,U00977,P00035,2025-01-18 09:02:23,34.711075637799254,4.0
T000017,U00243,P00180,2025-02-03 09:02:23,2620.593012877742,3.0
T000018,U00950,P00124,2024-12-28 09:02:23,98.74733025457664,5.0
T000019,U00207,P00156,2025-01-02 09:02:23,292.66406406202134,
T000020,U00912,P00018,2024-12-11 09:02:23,3215.6836052390645,4.0
T000021,U00271,P00122,2024-12-23 09:02:23,270.8548470026256,1.0
T000022,U00761,P00164,2025-02-01 09:02:23,325.43492787126496,3.0
T000023,U00994,P00161,2025-01-27 09:02:23,283.11836853809154,4.0
T000024,U00779,P00192,2025-02-02 09:02:23,134.6819369039713,3.0
T000025,U00705,P00154,2024-12-16 09:02:23,1342.8464976427463,2.0
T000026,U00847,P00048,2025-01-04 09:02:23,216.19873764446282,1.0
T000027,U00730,P00168,2025-01-05 09:02:23,252.66345914623153,1.0
T000028,U00115,P00017,2024-12-08 09:02:23,84.81197468838505,1.0
T000029,U00580,P00168,2025-02-15 09:02:23,247.28565632047963,3.0
T000030,U00299,P00135,2024-12-26 09:02:23,180.92604414838354,4.0
T000031,U00837,P00057,2024-12-08 09:02:23,105.06222649288229,4.0
T000032,U00483,P00008,2024-12-30 09:02:23,123.08146647679105,3.0
T000033,U00397,P00128,2024-12-18 09:02:23,797.8804515376338,3.0
T000034,U00394,P00117,2024-12-29 09:02:23,96.96801347374378,2.0
T000035,U00075,P00056,2024-12-28 09:02:23,113.43010885775546,5.0
T000036,U00978,P00126,2025-02-02 09:02:23,85.3470839188997,5.0
T000037,U00482,P00159,2025-02-03 09:02:23,258.7522188303194,
T000038,U00103,P00059,2024-12-29 09:02:23,124.21482435553031,4.0
T000039,U00297,P00058,2025-01-27 09:02:23,4595.050310028931,1.0
T000040,U00178,P00140,2025-01-11 09:02:23,658.6803754925869,4.0
T000041,U00215,P00176,2025-02-01 09:02:23,307.9706041639016,4.0
T000042,U00967,P00159,2024-12-29 09:02:23,275.116856734251,2.0
T000043,U00315,P00108,2025-01-25 09:02:23,3999.4410204928504,3.0
T000044,U00039,P00191,2025-02-15 09:02:23,89.2661487740433,3.0
T000045,U00259,P00074,2025-02-07 09:02:23,349.48457732188683,3.0
T000046,U00716,P00167,2024-12-29 09:02:23,150.6214281776691,5.0
T000047,U00007,P00148,2025-01-22 09:02:23,90.27063062588621,3.0
T000048,U00049,P00101,2025-03-01 09:02:23,377.93976446482753,5.0
T000049,U00538,P00048,2025-01-27 09:02:23,213.4695829820144,1.0
T000050,U00161,P00071,2025-02-07 09:02:23,148.48300336882318,5.0
T000051,U00869,P00116,2025-01-02 09:02:23,2746.104649581585,4.0
T000052,U00176,P00182,2024-12-08 09:02:23,3786.428732032468,2.0
T000053,U00591,P00122,2025-03-02 09:02:23,240.91803597255475,2.0
T000054,U00002,P00078,2025-02-26 09:02:23,10.114641349318562,4.0
T000055,U00895,P00199,2025-02-08 09:02:23,273.04411547910775,1.0
T000056,U00455,P00029,2025-02-18 09:02:23,3639.401239294189,2.0
T000057,U00928,P00093,2024-12-10 09:02:23,134.75213136268056,4.0
T000058,U00644,P00073,2025-02-22 09:02:23,500.3975525296537,2.0
T000059,U00276,P00100,2025-02-06 09:02:23,917.3383339950495,5.0
T000060,U00498,P00176,2025-03-01 09:02:23,301.75868493997814,
T000061,U00629,P00074,2024-12-17 09:02:23,350.669919309556,
T000062,U00676,P00184,2024-12-16 09:02:23,2048.4946853926845,5.0
T000063,U00800,P00095,2025-01-18 09:02:23,125.45516968535922,2.0
T000064,U00028,P00017,2024-12-11 09:02:23,92.79465893472026,2.0
T000065,U00333,P00137,2024-12-30 09:02:23,131.75206749013842,5.0
T000066,U00001,P00097,2025-01-25 09:02:23,385.7209815883795,
T000067,U00188,P00162,2024-12-18 09:02:23,622.8191338988051,1.0
T000068,U00056,P00173,2024-12-22 09:02:23,754.6193250424953,3.0
T000069,U00547,P00009,2024-12-20 09:02:23,251.93790662042667,3.0
T000070,U00112,P00135,2025-01-24 09:02:23,189.7390480033613,4.0
T000071,U00798,P00144,2025-02-01 09:02:23,189.62128806345913,3.0
T000072,U00310,P00019,2024-12-26 09:02:23,1768.055691876187,1.0
T000073,U00036,P00134,2025-02-02 09:02:23,164.22929949500784,
T000074,U00439,P00114,2025-02-22 09:02:23,86.2242410134679,3.0
T000075,U00729,P00139,2025-01-12 09:02:23,183.37719333174803,1.0
T000076,U00592,P00125,2024-12-22 09:02:23,217.26036267430936,5.0
T000077,U00826,P00061,2024-12-22 09:02:23,669.3801700410879,3.0
T000078,U00595,P00042,2025-02-20 09:02:23,748.9421328070061,4.0
T000079,U00577,P00013,2025-02-18 09:02:23,132.27836424769367,3.0
T000080,U00325,P00140,2025-01-10 09:02:23,629.9600022317309,3.0
T000081,U00640,P00085,2024-12-28 09:02:23,1311.6154553607048,
T000082,U00307,P00020,2025-02-09 09:02:23,100.11110723710941,1.0
T000083,U00534,P00050,2025-01-25 09:02:23,133.60561494295075,4.0
T000084,U00728,P00164,2025-01-21 09:02:23,347.5083299641907,
T000085,U00619,P00092,2024-12-13 09:02:23,20.643768964331652,1.0
T000086,U00109,P00088,2024-12-21 09:02:23,151.21540091171235,2.0
T000087,U00372,P00069,2025-01-13 09:02:23,228.93210356123078,4.0
T000088,U00357,P00037,2025-02-06 09:02:23,36.312825247526334,3.0
